Date,Open,High,Low,Close,Adj Close,Volume
2007-01-08,28.666666,28.666666,28.666666,28.666666,16.249998,3600
2007-01-09,28.100000,28.600000,28.000000,28.083332,15.919325,2490
2007-01-10,27.566666,29.033333,27.333332,27.566666,15.626451,32694
2007-01-11,27.700001,28.416666,27.666666,28.000000,15.872088,4800
2007-01-12,28.299999,28.600000,28.116667,28.433332,16.117727,13122
2007-01-15,28.333332,28.750000,28.066666,28.066666,15.909883,3810
2007-01-16,27.766666,28.533333,27.766666,28.416666,16.108278,8274
2007-01-17,28.500000,29.333332,28.500000,29.166666,16.533426,22638
2007-01-18,28.000000,30.000000,28.000000,29.866667,16.930229,31944
2007-01-19,29.000000,30.150000,29.000000,29.666666,16.816856,40038
2007-01-22,29.933332,30.000000,29.066666,29.250000,16.580666,6900
2007-01-23,34.333332,34.333332,28.700001,29.500000,16.722382,7800
2007-01-24,29.333332,30.266666,29.333332,30.266666,17.156971,5526
2007-01-25,29.066666,30.666666,29.066666,30.233334,17.138079,12798
2007-01-29,30.833332,30.833332,29.116667,29.116667,16.505085,9600
2007-01-31,33.666664,34.000000,30.666666,31.549999,17.884441,123942
2007-02-01,33.833332,33.833332,31.366667,33.233334,18.838659,96348
2007-02-02,33.333332,33.966667,32.833332,33.083332,18.753632,26046
2007-02-05,32.633331,33.333332,32.633331,33.216667,18.829210,9324
2007-02-06,32.433334,33.000000,32.333332,32.650002,18.507994,35892
2007-02-07,32.099998,33.033333,32.066666,32.933334,18.668600,4410
2007-02-08,32.166664,32.966667,32.166664,32.950001,18.678051,17016
2007-02-09,33.000000,33.000000,31.666666,32.066666,18.177322,4824
2007-02-12,31.333332,31.333332,30.666666,30.683332,17.393164,7800
2007-02-13,31.100000,31.100000,30.083332,30.083332,17.053047,600
2007-02-14,29.333332,30.083332,29.333332,30.066666,17.043602,7764
2007-02-15,29.933332,31.666666,29.933332,31.533333,17.874994,4200
2007-02-19,31.000000,31.866667,31.000000,31.433332,17.818308,19794
2007-02-20,31.833332,33.666664,29.383333,31.333332,17.761621,25410
2007-02-21,30.500000,31.616667,30.500000,30.900000,17.515985,1206
2007-02-22,30.333332,31.466665,30.333332,30.883333,17.506533,33942
2007-02-23,30.083332,30.666666,29.333332,30.016666,17.015257,23760
2007-02-26,29.666666,29.666666,29.333332,29.333332,16.627905,1680
2007-02-27,31.333332,31.333332,29.700001,30.549999,17.317585,2046
2007-02-28,30.000000,30.000000,30.000000,30.000000,17.005810,12
2007-03-01,30.000000,30.333332,29.000000,30.299999,17.175869,5670
2007-03-02,29.000000,30.666666,29.000000,29.100000,16.495638,7098
2007-03-05,27.683332,27.700001,27.683332,27.700001,15.702031,3000
2007-03-06,27.733334,30.000000,27.733334,29.066666,16.476740,21882
2007-03-07,29.100000,29.100000,29.083332,29.083332,16.486185,3660
2007-03-08,27.666666,30.083332,27.666666,29.483334,16.712933,19824
2007-03-09,28.683332,29.333332,28.683332,29.000000,16.438951,1830
2007-03-12,29.916666,29.916666,28.533333,29.666666,16.816856,10950
2007-03-13,29.000000,29.333332,28.666666,29.333332,16.627905,780
2007-03-14,29.333332,29.333332,29.333332,29.333332,16.627905,0
2007-03-15,28.500000,29.833332,28.500000,28.700001,16.268892,10500
2007-03-16,28.700001,29.583332,28.700001,28.700001,16.268892,3006
2007-03-19,28.833332,30.166666,28.666666,28.700001,16.268892,16200
2007-03-20,28.700001,29.650000,28.700001,28.766666,16.306681,10800
2007-03-21,28.000000,29.500000,28.000000,28.733334,16.287785,4800
2007-03-22,28.766666,29.100000,28.766666,28.833332,16.344471,2550
2007-03-23,29.000000,29.916666,28.833332,29.799999,16.892437,11550
2007-03-26,29.666666,29.666666,29.016666,29.016666,16.448399,1470
2007-03-28,29.666666,29.866667,28.666666,29.166666,16.533426,9450
2007-03-29,28.333332,30.250000,28.333332,28.700001,16.268892,4608
2007-03-30,29.333332,29.966665,29.333332,29.966665,16.986916,2124
2007-04-02,28.500000,29.833332,28.500000,29.066666,16.476740,15000
2007-04-03,29.516666,29.549999,29.416666,29.416666,16.675142,3234
2007-04-04,29.333332,29.666666,29.333332,29.666666,16.816856,1356
2007-04-05,28.833332,29.866667,28.833332,28.850000,16.353918,1308
2007-04-09,29.366667,31.266666,29.100000,29.400000,16.665695,4110
2007-04-10,30.333332,30.666666,30.333332,30.600000,17.345930,2316
2007-04-11,30.933332,31.166666,30.333332,31.000000,17.572672,9000
2007-04-12,29.666666,31.333332,29.666666,30.883333,17.506533,1440
2007-04-13,30.016666,31.000000,29.900000,30.116667,17.071943,8760
2007-04-16,30.333332,31.566666,30.083332,30.083332,17.053047,2466
2007-04-17,29.000000,32.333332,29.000000,30.116667,17.071943,2778
2007-04-18,30.000000,31.000000,29.666666,30.333332,17.194763,2100
2007-04-19,31.666666,31.666666,29.683332,30.216665,17.128630,3420
2007-04-20,30.333332,31.000000,30.333332,30.350000,17.204212,3150
2007-04-23,30.666666,31.766666,30.500000,30.533333,17.308132,2580
2007-04-24,29.533333,30.316666,29.533333,30.316666,17.185314,3900
2007-04-25,29.816666,30.666666,29.200001,29.850000,16.920780,7236
2007-04-26,29.833332,29.833332,29.833332,29.833332,16.911331,1224
2007-04-27,27.166666,30.650000,27.166666,30.000000,17.005810,2262
2007-04-30,30.666666,30.666666,30.000000,30.666666,17.383715,59082
2007-05-03,31.000000,31.566666,29.733334,29.783333,16.882990,100302
2007-05-04,29.733334,31.200001,29.733334,30.000000,17.005810,143172
2007-05-07,30.299999,30.299999,29.333332,29.516666,16.731827,14130
2007-05-08,30.333332,30.333332,29.666666,29.733334,16.854649,3780
2007-05-09,30.000000,30.000000,30.000000,30.000000,17.005810,12
2007-05-10,29.966665,29.966665,29.333332,29.666666,16.816856,2892
2007-05-11,29.666666,29.666666,29.333332,29.333332,16.627905,1836
2007-05-14,29.666666,30.000000,29.500000,29.549999,16.750725,4554
2007-05-15,29.350000,30.000000,29.350000,30.000000,17.005810,3570
2007-05-16,29.633333,30.083332,29.633333,30.016666,17.015257,2088
2007-05-17,29.000000,30.000000,29.000000,30.000000,17.005810,3360
2007-05-18,29.383333,29.983334,29.100000,29.316666,16.618456,18384
2007-05-21,29.316666,29.316666,29.316666,29.316666,16.618456,0
2007-05-22,30.333332,30.350000,29.666666,30.100000,17.062494,10326
2007-05-23,29.683332,30.000000,28.366667,29.366667,16.646799,13572
2007-05-24,30.616667,31.666666,29.066666,29.400000,16.665695,10992
2007-05-25,30.000000,30.633333,29.183332,29.183332,16.542875,2700
2007-05-28,29.416666,29.983334,29.333332,29.433332,16.684584,3870
2007-05-29,29.400000,29.900000,29.366667,29.483334,16.712933,4788
2007-05-30,30.299999,30.299999,29.549999,29.549999,16.750725,1986
2007-05-31,29.350000,30.299999,29.333332,29.766666,16.873541,23850
2007-06-01,29.983334,30.333332,29.549999,30.250000,17.147526,7740
2007-06-04,30.250000,30.250000,29.733334,29.733334,16.854649,3132
2007-06-05,29.683332,30.250000,29.666666,29.933332,16.968021,8292
2007-06-06,29.400000,30.333332,29.333332,29.466665,16.703482,33126
2007-06-07,29.916666,30.000000,29.383333,29.666666,16.816856,14148
2007-06-08,29.933332,29.933332,29.400000,29.400000,16.665695,192
2007-06-11,29.500000,29.750000,29.500000,29.500000,16.722382,3312
2007-06-12,29.366667,29.416666,29.000000,29.316666,16.618456,11478
2007-06-13,29.333332,29.766666,29.333332,29.666666,16.816856,1734
2007-06-14,30.266666,30.299999,29.500000,30.066666,17.043602,13068
2007-06-15,30.166666,30.299999,29.666666,29.866667,16.930229,6360
2007-06-18,30.933332,30.933332,28.666666,29.216665,16.561768,168156
2007-06-19,30.299999,30.299999,29.333332,29.433332,16.684584,10482
2007-06-20,30.166666,30.450001,28.116667,30.400000,17.232555,21648
2007-06-21,30.000000,30.333332,30.000000,30.333332,17.194763,3006
2007-06-22,31.600000,31.600000,29.516666,29.700001,16.835749,1218
2007-06-25,30.966665,30.966665,29.466665,30.116667,17.071943,4392
2007-06-26,30.633333,30.633333,29.566666,30.266666,17.156971,5172
2007-06-27,30.200001,30.200001,29.766666,29.833332,16.911331,8640
2007-06-28,31.333332,31.333332,29.533333,29.750000,16.864096,1638
2007-06-29,30.666666,31.166666,30.000000,30.333332,17.194763,4914
2007-07-02,30.833332,30.833332,29.549999,30.500000,17.289240,5652
2007-07-03,30.333332,30.616667,30.033333,30.500000,17.289240,2670
2007-07-04,30.333332,30.483334,30.000000,30.150000,17.090839,5850
2007-07-05,30.333332,30.333332,29.716665,29.750000,16.864096,6648
