date,headline_text,open,high,low,close,adj close,volume
2007-01-08,ULFA strikes again in Assam; kills nine people,28.666666,28.666666,28.666666,28.666666,16.249998,3600.0
2007-01-09,Marry-and-dump NRIs may face Indian law,28.1,28.6,28.0,28.083332,15.919325,2490.0
2007-01-10,Kalam sets tone for engagement of global Indians,27.566666,29.033333,27.333332,27.566666,15.626451,32694.0
2007-01-11,Plan panel may cut SSA budget,27.700001,28.416666,27.666666,28.0,15.872088,4800.0
2007-01-12,Bangladesh president resigns as chief advisor,28.299999,28.6,28.116667,28.433332,16.117727,13122.0
2007-01-15,Terrorists using Google map to hit UK troops,28.333332,28.75,28.066666,28.066666,15.909883,3810.0
2007-01-16,NRI firm wins US prez poll tie-up,27.766666,28.533333,27.766666,28.416666,16.108278,8274.0
2007-01-17,Govt takes note of racist slur on Shilpa,28.5,29.333332,28.5,29.166666,16.533426,22638.0
2007-01-18,Govt puts new SEZs on hold,28.0,30.0,28.0,29.866667,16.930229,31944.0
2007-01-19,USS Trenton is now INS Jalashva,29.0,30.15,29.0,29.666666,16.816856,40038.0
2007-01-22,We are not afraid of competition,29.933332,30.0,29.066666,29.25,16.580666,6900.0
2007-01-23,Bengal eyes Rs 12;000-cr investment in current fiscal,34.333332,34.333332,28.700001,29.5,16.722382,7800.0
2007-01-24,India; Russia may export 1;000 BrahMos,29.333332,30.266666,29.333332,30.266666,17.156971,5526.0
2007-01-25,Templeton plans largest campus,29.066666,30.666666,29.066666,30.233334,17.138079,12798.0
2007-01-29,TV interview of accused can count as evidence: SC,30.833332,30.833332,29.116667,29.116667,16.505085,9600.0
2007-01-31,Mittal's 5-cr gift to Rajasthan hometown,33.666664,34.0,30.666666,31.549999,17.884441,123942.0
2007-02-01,Foreign grads flock back home to Punjab,33.833332,33.833332,31.366667,33.233334,18.838659,96348.0
2007-02-02,Chirac says nuclear Iran not risky; then retracts,33.333332,33.966667,32.833332,33.083332,18.753632,26046.0
2007-02-05,Is Parliament's will also the people's will?,32.633331,33.333332,32.633331,33.216667,18.82921,9324.0
2007-02-06,Sonia writes to PM: Tread cautiously on FDI in retail,32.433334,33.0,32.333332,32.650002,18.507994,35892.0
2007-02-07,All-British kudi Meera Syal joins Britain's literary greats,32.099998,33.033333,32.066666,32.933334,18.6686,4410.0
2007-02-08,Poll effect: Obama to give up smoking,32.166664,32.966667,32.166664,32.950001,18.678051,17016.0
2007-02-09,Air rage: Tempers soar in sky,33.0,33.0,31.666666,32.066666,18.177322,4824.0
2007-02-12,Parsi theatre academy to come up in Surat,31.333332,31.333332,30.666666,30.683332,17.393164,7800.0
2007-02-13,Moily report has bad news for corrupt babus,31.1,31.1,30.083332,30.083332,17.053047,600.0
2007-02-14,Love: Think Abhi-Ash; not St. Valentine,29.333332,30.083332,29.333332,30.066666,17.043602,7764.0
2007-02-15,Hawala route used to transfer money,29.933332,31.666666,29.933332,31.533333,17.874994,4200.0
2007-02-19,Government set to 'cradle' girl child,31.0,31.866667,31.0,31.433332,17.818308,19794.0
2007-02-20,'We'll bring best global practices to India',31.833332,33.666664,29.383333,31.333332,17.761621,25410.0
2007-02-21,Contest for meanest chilli was a scorcher,30.5,31.616667,30.5,30.9,17.515985,1206.0
